Round,Accuracy,Precision,Recall,F1
1,0.974916339856747,0.9488568150895073,0.9807252171515236,0.9645278516027552
1,0.9741969508102408,0.9479417590064771,0.9793711804883444,0.9634002040122408
1,0.9741873621631988,0.9479850926347964,0.9791741671051538,0.9633272484538048
2,0.9795572005254528,0.9605721225205776,0.981497311457328,0.9709219858156029
2,0.9786652603317672,0.959540703027677,0.9797859690844232,0.9695576625757638
2,0.9788378559785216,0.9599001573606816,0.9798111274197568,0.9697534501898118
3,0.980046216835585,0.9607753275462338,0.9827381773059424,0.971632655843182
3,0.9791159267427366,0.9596916001623156,0.980975029726516,0.970216606498195
3,0.9792693450954072,0.9601485618239488,0.980835802708466,0.9703819387363692
4,0.9806886500273274,0.962189296413246,0.9830966496622088,0.9725306200387354
4,0.9801035573880524,0.9617218399523216,0.981693996626386,0.97160529304706
4,0.9801131460350944,0.9616417546048884,0.9817220083635658,0.9715781395603792
5,0.9814173802149754,0.964669572515364,0.9825451537294912,0.973525313516024
5,0.9808802377984468,0.96383677680341,0.981693996626386,0.9726834347087512
5,0.9808802377984468,0.964086518840974,0.9813342933894597,0.9726339481774264
6,0.9814749115455792,0.9650781609818212,0.9822694057631324,0.9735979009511316
6,0.9808227059161952,0.9641585826472108,0.9811685977380196,0.9725892220821228
6,0.9808898264454884,0.9643654380138292,0.981057354122241,0.9726397869390332
7,0.9833830340106048,0.965868004964654,0.9870949951744106,0.9763661407121524
7,0.982702080736408,0.9648258881463244,0.9860631031717502,0.97532890238232
7,0.9826924920893662,0.9650254853052814,0.985737627738237,0.9752716013864344
8,0.9832200285738942,0.9658271924852216,0.9866537984282366,0.9761294194674814
8,0.982615782913031,0.9649683253018572,0.9856483145756711,0.975198697692234
8,0.9826349602071148,0.9650702391929272,0.985516076324462,0.975186002219695
9,0.9894238237240032,0.9829945054945056,0.9866537984282366,0.9848207527695588
9,0.9883593824911304,0.9813779234731824,0.9851229156873048,0.9832468536100684
9,0.9882922619618372,0.9814794369307204,0.9847683403029716,0.983121137975366
10,0.9848788486063036,0.970613773267488,0.986378050461878,0.978432418386466
10,0.984485569086202,0.9700895408649266,0.9856483145756711,0.9778070392011632
10,0.9846389874388723,0.9707768288357116,0.9852945249106873,0.9779818026883642
11,0.9892608182872924,0.98333195808235,0.9858265545291603,0.9845776761862796
11,0.9885703327260524,0.9818933443571723,0.9852058734065204,0.983546819787986
11,0.9886374532553456,0.9823223953154347,0.9849068099365808,0.9836129050101642
12,0.9900662569157452,0.98585022755482,0.9855783813594374,0.9857142857142858
12,0.989404545018698,0.9844941956882256,0.9849570002488732,0.9847255435909488
12,0.9893374244894044,0.984655864838665,0.9845467888891966,0.984601323843022
13,0.9897594231525252,0.9845802241374564,0.9859920033089756,0.985285608001984
13,0.9890689423722312,0.9830625362058978,0.9854547465641678,0.9842571878366062
13,0.9889347013136448,0.9832443940608844,0.9848237281564152,0.9840334274171232
14,0.9900087255851416,0.9841117128013416,0.987205294360954,0.9856560762072571
14,0.9891744174896924,0.9825353974987604,0.9863119763293976,0.9844200648588974
14,0.9892319493719436,0.9827253159666648,0.9862361184192306,0.9844775871839884
15,0.9903251479034624,0.984099522161806,0.9881428374465738,0.986117035182102
15,0.9895675520184102,0.9826347799763326,0.9873627741061306,0.9849931034482758
15,0.9895579633713684,0.98282137539293,0.9870946301476088,0.9849533678756476
16,0.9907853985482928,0.986468610483382,0.9870398455811388,0.986754145359816
16,0.9901045162527568,0.9849534800253996,0.9865331969139728,0.9857427055702918
16,0.9900278070764216,0.9850081597654412,0.9862084244925088,0.9856079267111344
17,0.9907662214380916,0.9856380344467066,0.9878395146835792,0.9867375466527112
17,0.9900661616645892,0.98447025073787,0.9869203329369798,0.985693769332744
17,0.9898360341355836,0.9840620943015772,0.9866238333933368,0.9853412988162408
18,0.9903539135687645,0.9832515556042872,0.9891079553288294,0.986171060951805
18,0.9896250839006616,0.9819215869439788,0.988275309017504,0.9850882028665932
18,0.9896250839006616,0.9821335168616656,0.9880085297294304,0.9850622635778776
19,0.9908237527686952,0.987006896551724,0.9865986488349648,0.986802730469558
19,0.9901141048997988,0.9856510920652476,0.9858418825871748,0.9857464780943692
19,0.9900565730175472,0.9857079547972524,0.9855714641779058,0.9856397047623005
20,0.990910049764601,0.9864734565690516,0.9873983179374052,0.9869356705804532
20,0.9902483459583852,0.9850400220811484,0.986865027790836,0.9859516804110896
20,0.9901236935468404,0.9848782240897908,0.9866238333933368,0.9857502559420048
21,0.9909963467605066,0.9864768095185634,0.987646491107128,0.987061303790666
21,0.990277111899511,0.9848806731963028,0.9871139009484832,0.985996022538946
21,0.9901620481350082,0.9849335139468663,0.9866792212467804,0.9858055947538806
22,0.9904977418952738,0.9838152191803368,0.9889425065490142,0.9863721998377316
22,0.9898072681944576,0.9825405554028044,0.9881646987252164,0.9853446017674714
22,0.9897593249592482,0.9825919294862968,0.9879254479492648,0.9852514707100836
23,0.9914182431849344,0.9889140771867744,0.986378050461878,0.9876444358546048
23,0.9905072394285166,0.9869313619625107,0.9856759671487432,0.9863032650802436
23,0.9906798350752708,0.9875128340316895,0.985543770251184,0.9865273196019184
24,0.9914470088502364,0.9892937173209396,0.9860747276988832,0.9876815997348506
24,0.9905455940166844,0.987310558834123,0.985399441418024,0.9863540744021256
24,0.9908044874868156,0.9881130922624008,0.9852945249106873,0.9867017957429106
25,0.990775809993192,0.9855582757956702,0.9879498138701228,0.9867525957751522
25,0.9899510979000864,0.9839309831592292,0.9871415535215552,0.9855336535806968
25,0.9901332821938824,0.984450091145114,0.9870946301476088,0.985770587015142
26,0.990468976229972,0.984371995935071,0.9882807114297532,0.9863224812174918
26,0.9896730271358712,0.9830919204714436,0.987196858667699,0.9851401134152904
26,0.9897113817240388,0.9832285115303984,0.9871223240743304,0.9851715703210292
27,0.991562071511444,0.9891078981560832,0.9865986488349648,0.9878516800574284
27,0.9906798350752708,0.98715357568039,0.9859524928794624,0.9865526687142028
27,0.990871608016109,0.9878444758970945,0.9857653216649588,0.986803803609548
28,0.9912072949727204,0.9868602280866068,0.9878670894802152,0.987363402097372
28,0.9904305302521814,0.9852084885614152,0.9872245112407708,0.9862154696132596
28,0.9904017643110558,0.9854266910016038,0.9868730787338336,0.9861493545128752
29,0.9913031805237268,0.9864351749944972,0.988584034192748,0.9875084355933836
29,0.990564771310768,0.9849733932559486,0.9878605204214252,0.986414844267727
29,0.9905455940166844,0.9852181361036664,0.9875100390484368,0.9863627562169788
30,0.991533305846142,0.986631457336194,0.9890528057355576,0.9878406477643592
30,0.990785310192732,0.985143329658214,0.988330614163648,0.9867343980784892
30,0.990766132898648,0.9852811222799072,0.988091611509596,0.9866843655369808
31,0.9918593167195636,0.9892793987621574,0.9872880187508616,0.9882827056047034
31,0.9909003739572346,0.9870808896757772,0.9866714597793323,0.9868761322620349
31,0.991149678780324,0.9879083698485772,0.9865130576864494,0.9872102207380103
32,0.9913319461890288,0.9863827680118842,0.9887219081759272,0.9875509529580258
32,0.9906223031930196,0.984842221303569,0.9881646987252164,0.9865006625441696
32,0.9904784734873908,0.9848936757801712,0.987648508682046,0.9862691685449192
33,0.9918784938297648,0.989144845873384,0.9874810423273128,0.9883122438559936
33,0.990957905839486,0.9870022123893806,0.9869203329369798,0.9869612709649764
33,0.991168856074408,0.9877737732187414,0.9867069151735024,0.9872400559719586
34,0.9917346655032552,0.9894920222326689,0.9867089480215084,0.9880985254321532
34,0.9907948988397736,0.9872657309747253,0.9861737134640378,0.9867194200813436
34,0.9910346150158212,0.9881481070278672,0.98593148522529,0.987038551644787
35,0.9913415347441294,0.9873752687579248,0.9877292154970356,0.9875522104131342
35,0.99057435995781,0.9856164761747004,0.9872245112407708,0.986419838364302
35,0.9906318918400614,0.9860273366166786,0.9869284665872774,0.9864776958104386
36,0.9916579570624504,0.9893543481266418,0.9866262236316008,0.9879884025956096
36,0.9908044874868156,0.9873740170561524,0.986090755744822,0.9867319691750024
36,0.9909866717806116,0.9881735654201717,0.9857653216649588,0.9869679744905032
37,0.9919360251603686,0.989444014590472,0.9873431683441336,0.9883924751218032
37,0.990967494486528,0.9872181491215936,0.9867267649254764,0.9869723958621452
37,0.9912743311918688,0.9881563254098134,0.9866238333933368,0.9873894847703778
38,0.9917538426134566,0.9872828869498196,0.9890252309389218,0.9881532909055843
38,0.9909387285454022,0.9856851279788172,0.9882200038713602,0.9869509382896754
38,0.990957905839486,0.9859867330016584,0.9879254479492648,0.9869551384028
39,0.9917346655032552,0.989356702512924,0.9868468220046878,0.98810016841989
39,0.9908140761338576,0.987212488582579,0.9862843237563256,0.986748187904609
39,0.9910537923099052,0.9881216696269982,0.9860145670054558,0.9870669938038008
40,0.9918784938297648,0.9893611141814966,0.987260443954226,0.9883096628158944
40,0.9909770831335698,0.9872454625940682,0.9867267649254764,0.986986045611075
40,0.9912551538977852,0.9881285884669792,0.986596139466615,0.9873617693522908
41,0.9919647908256704,0.9894448896134398,0.9874258927340412,0.9884343601634096
41,0.9910058490746956,0.9871926087798402,0.986865027790836,0.9870287911054568
41,0.9912743311918688,0.9881834068403096,0.986596139466615,0.987389135254989
42,0.9917058998379534,0.9896265560165975,0.9864883496484214,0.9880549609887456
42,0.9908044874868156,0.987454998615342,0.9860077980256062,0.9867308676822604
42,0.991063380956947,0.9884473326112916,0.9857099338115152,0.987076735350398
43,0.9916291913971484,0.9877080806967258,0.9882255618364816,0.987966753504528
